,#,Name,Country,Latitude,Longitude
14,155,Caluire-et-Cuire,France,45.79699520037281,4.8423304
15,156,Cambo-les-Bains,France,43.36091390054183,-1.3994687
16,157,Cambrai,France,50.175960199412955,3.2356612999999994
17,158,Canet-en-Roussillon,France,42.70435900052691,3.0105105
18,159,Cannes,France,43.55151980054164,7.013441799999999
19,160,Canteleu,France,49.45079869958165,1.0352069
0,161,Capesterre-Belle-Eau,France,16.042332200029364,-61.569727399999984
1,162,Carcassonne,France,43.21303580054056,2.3491069
2,163,Carentan,France,49.30328999961758,-1.2463444
3,164,Carhaix-Plouguer,France,48.27649969987099,-3.5711476999999996
4,165,Carmaux,France,44.04962960053092,2.1583033
5,166,Carpentras,France,44.055404300530704,5.0487681
6,167,Carquefou,France,47.29719790009845,-1.4921233
7,168,Carrières-sous-Poissy,France,48.94376939970627,2.0341747
8,169,Carrières-sur-Seine,France,48.91341119971379,2.1779082999999995
9,170,Carros,France,43.78460000053847,7.187849999999998
10,171,Carvin,France,50.49341449934547,2.9577518999999994
11,172,Castanet-Tolosan,France,43.51721400054181,1.4980801
12,173,Castelginest,France,43.692923100540106,1.4281537
13,174,Casteljaloux,France,44.31357840051914,0.08827029999999998
14,175,Castelnaudary,France,43.3192021005416,1.9533495
15,176,Castelnau-le-Lez,France,43.6393171005408,3.9133310999999997
16,177,Castelsarrasin,France,44.03951510053129,1.1072874999999998
17,178,Castres,France,43.60367760054121,2.2417953999999995
18,179,Caudry,France,50.124336299424385,3.4105032
19,180,Cavaillon,France,43.835680800537354,5.038352199999999
0,181,Cenon,France,44.855288200481404,-0.5239862999999999
1,182,Cergy,France,49.05275279967928,2.0388736
2,183,Cesson-Sévigné,France,48.11977989990896,-1.6038828999999997
3,184,Cestas,France,44.741157400490884,-0.6841225
4,185,Chalette-sur-Loing,France,48.01446389993424,2.7320233999999997
5,186,Challans,France,46.84794300019196,-1.8773786999999997
6,187,Châlons-en-Champagne,France,48.956621799703086,4.362885099999999
7,188,Chalon-sur-Saône,France,46.78889970020361,4.852960499999999
8,189,Chamalières,France,45.77320000037623,3.06115
9,190,Chambray-lès-Tours,France,47.339087200089324,0.7143679999999999
10,191,Chamonix-Mont-Blanc,France,45.92467050035402,6.8727506
11,192,Champagnole,France,46.745604900212015,5.908358099999999
12,193,Champigny-sur-Marne,France,48.81377589973851,2.5107383999999997
13,194,Champs-sur-Marne,France,48.85268919972886,2.6027219
14,195,Chantepie,France,48.08815499991658,-1.6171481999999997
15,196,Chantilly,France,49.19317359964462,2.4636685999999997
16,197,Charenton-le-Pont,France,48.819847899737006,2.4159507999999996
17,198,Charleville-Mézières,France,49.773571199504595,4.720693899999999
18,199,Charmes,France,48.372541199847525,6.293385599999999
19,200,Chartres,France,48.443860099830005,1.4881433999999998
0,201,Châteaubriant,France,47.71940570000364,-1.3757281999999997
1,202,Château-Chinon,France,47.06439770014795,3.9330027999999992
2,203,Châteaudun,France,48.07022979992088,1.3284947999999999
3,204,Château-Gontier,France,47.82630579997874,-0.7066665
4,205,Châteauneuf-les-Martigues,France,43.38042930054192,5.1646417
5,206,Châteaurenard,France,43.8820448005362,4.85568
6,207,Châteauroux,France,46.8047000002005,1.6957099
7,208,Château-Thierry,France,49.04573619968101,3.4027110999999994
8,209,Châtellerault,France,46.818004700197875,0.545812
9,210,Châtenay-Malabry,France,48.76704039975011,2.2775315999999997
10,211,Châtillon,France,48.79977559974197,2.2897123999999995
11,212,Châtillon-sur-Seine,France,47.86074669997067,4.574913899999999
12,213,Chatou,France,48.88970439971966,2.1573694999999997
13,214,Chaumont,France,48.11113239991107,5.1395849
14,215,Chauny,France,49.61489449954214,3.2189506
15,216,Chauvigny,France,46.569504800245404,0.6439464
16,217,Chaville,France,48.808691499739766,2.1883487
17,218,Chelles,France,48.878380399722495,2.590549
18,219,Chennevières-sur-Marne,France,48.7965000997428,2.5304419999999994
19,220,Chenôve,France,47.293200000099304,5.00308
0,221,Cherbourg-en-Cotentin,France,49.642534299535576,-1.6249565
1,222,Chevigny-Saint-Sauveur,France,47.297710600098334,5.138221800000001
2,223,Chevilly-Larue,France,48.77141529974903,2.3469255
3,224,Chiconi,France,-12.836231100195622,45.1127841
4,225,Chilly-Mazarin,France,48.7026160997661,2.3123581999999994
5,226,Chinon,France,47.16671820012646,0.24020949999999996
6,227,Choisy-le-Roi,France,48.7630237997511,2.4093664000000006
7,228,Cholet,France,47.061729300148514,-0.8801349
8,229,Cilaos,France,-21.1360575002928,55.472514999999994
9,230,Clamart,France,48.800367999741844,2.2630291999999996
10,231,Clamecy,France,47.45988950006263,3.5187552
11,232,Claye-Souilly,France,48.94608709970569,2.6883702999999994
12,233,Clermont,France,49.37809209959933,2.4141907
13,234,Clichy,France,48.902599999716465,2.3055099999999995
14,235,Clichy-sous-Bois,France,48.91093899971442,2.5460721999999993
15,236,Cluny,France,46.433913800270076,4.657570799999999
16,237,Cluses,France,46.060317100333066,6.580421799999999
17,238,Cognac,France,45.69316470038739,-0.3250175
18,239,Colombes,France,48.92278799971147,2.2543577
