,year,date,stage,vertical_meters,profile_score,ps_25
18,2014.0,24/07,Stage 18 | Pau - Hautacam (145.5 km),3748,336,209
19,2014.0,25/07,Stage 19 | Maubourguet val d'Adour - Bergerac (208.5 km),1659,43,18
20,2014.0,26/07,Stage 20 (ITT) | Bergerac - Perigueux (54 km),611,21,17
21,2014.0,27/07,Stage 21 | Evry - Paris (137.5 km),805,6,0
1,2015.0,04/07,Stage 1 (ITT) | Utrecht - Utrecht (13.8 km),28,0,0
2,2015.0,05/07,Stage 2 | Utrecht - Neeltje Jans (166 km),241,0,0
3,2015.0,06/07,Stage 3 | Antwerpen - Huy (159.5 km),1435,100,75
4,2015.0,07/07,Stage 4 | Seraing - Cambrai (223.5 km),1552,15,3
5,2015.0,08/07,Stage 5 | Arras - Amiens (189.5 km),1606,24,2
6,2015.0,09/07,Stage 6 | Abbeville - Le Havre (191.5 km),1694,38,8
7,2015.0,10/07,Stage 7 | Livarot - Fougères (190.5 km),1694,25,6
8,2015.0,11/07,Stage 8 | Rennes - Mûr-de-bretagne (181.5 km),2057,72,48
9,2015.0,12/07,Stage 9 (TTT) | Vannes - Plumelec (28 km),401,25,25
10,2015.0,14/07,Stage 10 | Tarbes - La Pierre-Saint-Martin (167 km),2655,271,237
11,2015.0,15/07,Stage 11 | Pau - Cauterets (188 km),4099,275,68
12,2015.0,16/07,Stage 12 | Lannemezan - Plateau de Beille (195 km),4948,393,240
13,2015.0,17/07,Stage 13 | Muret - Rodez (198.5 km),2299,81,32
14,2015.0,18/07,Stage 14 | Rodez - Mende (178.5 km),2772,186,104
15,2015.0,19/07,Stage 15 | Mende - Valence (183 km),1993,53,2
16,2015.0,20/07,Stage 16 | Bourg-de-Péage - Gap (201 km),2322,89,66
17,2015.0,22/07,Stage 17 | Digne-Les-Bains - Pra-Loup (161 km),4208,253,109
